id,nombre,posX,posY,esCiclovia,creador,esVerificado
1,Amazonas y naciones unidas,7667.94,10690.35,true,admin,false
2,Shyris y Naciones unidas,8090.11,10772.32,false,admin,false
3,Naciones unidas y 6 de diciembre,8372.83,10835.04,false,admin,false
4,6 de diciembre y Gaspar,8534.65,10227.77,false,admin,false
5,6 de diciembre y Granados,8528.29,10071.41,false,admin,false
6,Granados y los Colimes,8827.38,9984.13,false,admin,false
7,UDLA Granados,8835.91,9887.64,false,admin,false
8,Eloy Alfaro y Granados,9263.65,9757.56,false,admin,false
9,Redonde del ciclista,9781.53,9485.31,false,admin,false
10,Redondel Via Nayon,9887.4,9400.01,false,admin,false
11,UDLA Park,10105.81,9432.68,false,admin,false
12,De las Azucenas y de las Higueras,9693.8,9154.38,false,admin,false
13,Eloy Alfaro y de las Azucenas,9482.05,8883.34,false,admin,false
14,Eloy Alfaro y Rio Coca,9296.32,9639.59,false,admin,false
15,Redondel Eloy Alfaro y El Inca,9551.41,8492.23,false,admin,false
16,Y El inca y de las palmeras,9375.63,8605.84,false,admin,false
17,El Inca y 6 de diciembre,8482.43,8681.09,true,admin,false
18,6 de diciembre y Shyris,8431.3,9173.61,true,admin,false
19,6 de diciembre y Rio Coca,8624.9,9514.22,true,admin,false
20,Rio Coca y Shyris,8319.37,9462.8,false,admin,false
21,Rio Coca y Amazonas,7890.89,9380.11,true,admin,false
22,Gama Autos Eloy Alfaro,9207.29,8043.03,false,admin,false
23,Eloy Alfaro y Los Álamos,9171.32,7725.77,false,admin,false
24,Eloy Alfaro y Pinos,9099.22,6973.56,false,admin,false
25,6 de diciembre y Pinos,8778.66,7034.95,false,admin,false
26,Pinos y Galo Plaza,7962.14,7191.82,false,admin,false
27,Galo plaza y Nicolas Urquiola,7996.25,6913.15,false,admin,false
28,Nicolás Urquiola y Teodoro Salen,8146.74,6916.0,false,admin,false
29,Nicolás Urquiola y Pedro Cornelio,8202.33,6917.0,false,admin,false
30,Cotac,7953.66,6935.37,false,admin,false
