idInicio,idFinal,pendiente,agregadaPor,esVerificada,esCiclovia,distancia,ponderacionRapidez,ponderacionCiclovia,ponderacionPendiente,nombreRuta,tieneIncidente
1,49,-1.5,admin,false,true,63.763423919677734,1000.14716,1000.0074,1000.33887,De Amazonas y naciones unidas a Amazonas - Registro Civil,true
1,50,1.5,admin,false,true,82.46377563476562,0.20364846,0.009549488,0.47382876,De Amazonas y naciones unidas a Amazonas - Caracol,false
1,53,-3.5,admin,false,false,164.84576416015625,0.24893518,0.81908953,0.30876157,De Amazonas y naciones unidas a Japón y Naciones Unidas,false
1,109,-3.5,admin,false,false,250.76416015625,0.2787838,0.82903904,0.31622374,De Amazonas y naciones unidas a Naciones Unidas y 10 de Agosto,false
2,3,-3.0,admin,false,false,289.593505859375,0.30060673,0.83353555,0.34181836,De Shyris y Naciones unidas a Naciones unidas y 6 de diciembre,false
2,53,3.5,admin,false,false,265.21014404296875,0.4004691,0.8307119,0.62858945,De Shyris y Naciones unidas a Japón y Naciones Unidas,false
2,117,-2.0,admin,false,false,632.8648681640625,0.43652815,0.87328714,0.41607648,De Shyris y Naciones unidas a Shyrys y Gaspar de Villaroel,false
2,115,2.0,admin,false,false,245.27383422851562,0.3685431,0.82840323,0.56019133,De Shyris y Naciones unidas a Shyrus y Suecia,false
3,4,-1.8,admin,false,false,628.46044921875,0.43833134,0.8727771,0.4245828,De Naciones unidas y 6 de diciembre a 6 de diciembre y Gaspar,false
3,2,3.0,admin,false,false,289.593505859375,0.40060672,0.83353555,0.60848504,De Naciones unidas y 6 de diciembre a Shyris y Naciones unidas,false
3,121,1.8,admin,false,false,436.5143127441406,0.431648,0.85054934,0.56791204,De Naciones unidas y 6 de diciembre a Portugal y 6 de Diciembre,false
4,5,-1.8,admin,false,false,156.48928833007812,0.27436543,0.8181218,0.38359132,De 6 de diciembre y Gaspar a 6 de diciembre y Granados,false
4,3,1.8,admin,false,false,628.46044921875,0.49833134,0.8727771,0.58458287,De 6 de diciembre y Gaspar a Naciones unidas y 6 de diciembre,false
4,117,-2.8,admin,false,false,347.7430419921875,0.32414156,0.8402694,0.3557576,De 6 de diciembre y Gaspar a Shyrys y Gaspar de Villaroel,false
4,105,2.8,admin,false,false,486.1305847167969,0.46555167,0.856295,0.61666566,De 6 de diciembre y Gaspar a Eloy Alfaro y Gaspar,false
5,6,-4.5,admin,false,false,311.5647888183594,0.2832397,0.8360799,0.2770599,De 6 de diciembre y Granados a Granados y los Colimes,false
5,19,1.8,admin,false,false,565.5034790039062,0.47645968,0.86548656,0.5791149,De 6 de diciembre y Granados a 6 de diciembre y Rio Coca,false
5,4,1.8,admin,false,false,156.48928833007812,0.33436543,0.8181218,0.5435914,De 6 de diciembre y Granados a 6 de diciembre y Gaspar,false
6,8,-4.5,admin,false,false,491.5948181152344,0.34578332,0.85692775,0.29269582,De Granados y los Colimes a Eloy Alfaro y Granados,false
6,7,3.0,admin,false,false,96.86630249023438,0.333652,0.8112173,0.59174633,De Granados y los Colimes a UDLA Granados,false
6,5,4.5,admin,false,false,311.5647888183594,0.43323967,0.8360799,0.67705995,De Granados y los Colimes a 6 de diciembre y Granados,false
7,6,-3.0,admin,false,false,96.86630249023438,0.233652,0.8112173,0.32507968,De UDLA Granados a Granados y los Colimes,false
8,14,-2.5,admin,false,false,122.41017150878906,0.25085944,0.81417537,0.34952042,De Eloy Alfaro y Granados a Eloy Alfaro y Rio Coca,false
8,9,6.5,admin,false,false,585.0809936523438,0.56159437,0.8677537,0.78970414,De Eloy Alfaro y Granados a Redonde del ciclista,false
8,6,4.5,admin,false,false,491.5948181152344,0.4957833,0.85692775,0.69269586,De Eloy Alfaro y Granados a Granados y los Colimes,false
8,105,2.5,admin,false,false,675.4970703125,0.5263388,0.8782241,0.61977917,De Eloy Alfaro y Granados a Eloy Alfaro y Gaspar,false
9,8,-6.5,admin,false,false,585.0809936523438,0.3449277,0.8677537,0.21192637,De Redonde del ciclista a Eloy Alfaro y Granados,false
9,12,-3.5,admin,false,false,342.3612365722656,0.31060523,0.8396462,0.32417908,De Redonde del ciclista a De las Azucenas y de las Higueras,false
9,10,8.5,admin,false,false,135.9578857421875,0.43889934,0.8157442,0.83958596,De Redonde del ciclista a Redondel Via Nayon,false
10,9,-8.5,admin,false,false,135.9578857421875,0.155566,0.8157442,0.08403039,De Redondel Via Nayon a Redonde del ciclista,false
10,11,6.0,admin,false,false,220.8398895263672,0.42672125,0.82557374,0.73584694,De Redondel Via Nayon a UDLA Park,false
11,10,-6.0,admin,false,false,220.8398895263672,0.22672124,0.82557374,0.20251365,De UDLA Park a Redondel Via Nayon,false
12,13,-3.5,admin,false,false,343.9487609863281,0.31115675,0.83983004,0.32431698,De De las Azucenas y de las Higueras a Eloy Alfaro y de las Azucenas,false
12,9,3.5,admin,false,false,342.3612365722656,0.4272719,0.8396462,0.6352902,De De las Azucenas y de las Higueras a Redonde del ciclista,false
13,15,-2.5,admin,false,false,397.21258544921875,0.34632763,0.8459981,0.37338746,De Eloy Alfaro y de las Azucenas a Redondel Eloy Alfaro y El Inca,false
13,14,2.5,admin,false,false,778.72314453125,0.56220025,0.89017785,0.62874454,De Eloy Alfaro y de las Azucenas a Eloy Alfaro y Rio Coca,false
13,12,3.5,admin,false,false,343.9487609863281,0.42782342,0.83983004,0.6354281,De Eloy Alfaro y de las Azucenas a De las Azucenas y de las Higueras,false
14,13,-2.5,admin,false,false,778.72314453125,0.47886693,0.89017785,0.40652227,De Eloy Alfaro y Rio Coca a Eloy Alfaro y de las Azucenas,false
14,8,2.5,admin,false,false,122.41017150878906,0.33419278,0.81417537,0.57174265,De Eloy Alfaro y Rio Coca a Eloy Alfaro y Granados,false
14,19,-3.0,admin,false,false,683.0244750976562,0.43728724,0.87909573,0.37598848,De Eloy Alfaro y Rio Coca a 6 de diciembre y Rio Coca,false
15,22,-2.5,admin,false,false,565.8614501953125,0.40491736,0.865528,0.38803488,De Redondel Eloy Alfaro y El Inca a Gama Autos Eloy Alfaro,false
15,16,3.0,admin,false,false,209.29844665527344,0.3727117,0.8242372,0.60151124,De Redondel Eloy Alfaro y El Inca a Y El inca y de las palmeras,false
15,13,2.5,admin,false,false,397.21258544921875,0.42966098,0.8459981,0.59560966,De Redondel Eloy Alfaro y El Inca a Eloy Alfaro y de las Azucenas,false
16,15,-3.0,admin,false,false,209.29844665527344,0.27271166,0.8242372,0.3348446,De Y El inca y de las palmeras a Redondel Eloy Alfaro y El Inca,false
16,17,3.0,admin,false,false,896.3641967773438,0.61140287,0.90380096,0.6611841,De Y El inca y de las palmeras a El Inca y 6 de diciembre,false
17,16,-3.0,admin,false,false,896.3641967773438,0.5114029,0.90380096,0.3945174,De El Inca y 6 de diciembre a Y El inca y de las palmeras,false
